symbol,date,open,high,low,close,volume,currency
IT0005508590,2026-02-19,106.2000,106.3600,106.2000,106.3600,2672000,EUR
IT0005508590,2026-02-20,106.4000,106.4700,106.3600,106.4700,5499000,EUR
IT0005508590,2026-02-23,106.4600,106.5900,106.3800,106.5600,854000,EUR
IT0005508590,2026-02-24,106.6200,106.6800,106.5800,106.6300,8733000,EUR
IT0005508590,2026-02-25,106.6400,106.7000,106.5900,106.6900,1732000,EUR
IT0005508590,2026-02-26,106.6500,106.7900,106.6200,106.7100,3864000,EUR
IT0005508590,2026-02-27,106.7300,106.9000,106.6500,106.9000,6620000,EUR
IT0005508590,2026-03-02,106.7200,106.7500,106.1800,106.2600,6633000,EUR
IT0005508590,2026-03-03,105.7400,105.7400,105.0000,105.2100,22950000,EUR
IT0005508590,2026-03-04,105.1900,105.6700,105.0600,105.6500,8745000,EUR
IT0005508590,2026-03-05,105.2300,105.5700,104.5200,104.5200,4822000,EUR
IT0005508590,2026-03-06,104.5800,104.6500,103.6800,103.9200,9578000,EUR
IT0005508590,2026-03-09,102.9400,104.0500,102.9000,104.0300,9325000,EUR
IT0005508590,2026-03-10,105.0200,105.0200,104.4900,104.8400,2118000,EUR
IT0005508590,2026-03-11,104.4000,104.4000,103.6800,103.7000,14076000,EUR
IT0005508590,2026-03-12,103.5400,103.6800,102.9800,103.1700,27170000,EUR
IT0005508590,2026-03-13,102.6600,103.3500,102.6600,102.7500,23184000,EUR
IT0005508590,2026-03-16,102.9500,103.5500,102.8000,103.2900,1900000,EUR
IT0005508590,2026-03-17,103.3200,103.8000,103.3200,103.8000,824000,EUR
IT0005508590,2026-03-18,104.0100,104.0500,103.0700,103.1700,2109000,EUR
IT0005508590,2026-03-19,102.6500,103.0300,102.2500,102.7700,5630000,EUR
IT0005508590,2026-03-20,103.0700,103.1200,101.4900,101.5800,6168000,EUR
IT0005508590,2026-03-23,100.8900,102.8000,100.2800,101.8200,13662000,EUR
IT0005508590,2026-03-24,102.1200,102.2600,101.3400,101.5600,8105000,EUR
IT0005508590,2026-03-25,102.1300,102.5400,102.1000,102.3600,10980000,EUR
IT0005508590,2026-03-26,101.8200,101.8200,101.1000,101.1000,2988000,EUR
IT0005508590,2026-03-27,100.8100,100.8100,100.0800,100.5900,7019000,EUR
IT0005508590,2026-03-30,100.8200,101.3000,100.6400,101.2300,2200000,EUR
IT0005508590,2026-03-31,101.2500,101.9000,101.1200,101.9000,7545000,EUR
IT0005508590,2026-04-01,102.9800,102.9800,102.1300,102.2900,4966000,EUR
IT0005508590,2026-04-02,101.7200,102.2600,101.4000,102.1600,2382000,EUR
IT0005508590,2026-04-07,102.0200,102.3500,101.1200,101.2500,3948000,EUR
IT0005508590,2026-04-08,103.4000,103.7900,103.1900,103.4200,3469000,EUR
IT0005508590,2026-04-09,103.0700,103.0700,102.4800,102.9900,1513000,EUR
IT0005508590,2026-04-10,102.9500,102.9500,102.4200,102.5200,6938000,EUR
IT0005508590,2026-04-13,102.1500,102.4100,101.9400,102.0900,1623000,EUR
IT0005508590,2026-04-14,102.5900,102.8200,102.3700,102.8200,2835000,EUR
IT0005508590,2026-04-15,102.9200,102.9200,102.5200,102.6500,2383000,EUR
IT0005508590,2026-04-16,103.0200,103.0200,102.6000,102.6900,2839000,EUR
IT0005508590,2026-04-17,102.6600,103.8600,102.6300,103.7600,3125000,EUR
IT0005508590,2026-04-20,103.1800,103.4400,103.0600,103.3000,3174000,EUR
IT0005508590,2026-04-21,103.5000,103.5000,102.9200,102.9500,3043000,EUR
IT0005508590,2026-04-22,103.1100,103.1600,102.8900,102.8900,2428000,EUR
IT0005508590,2026-04-23,102.5900,102.8800,102.4800,102.7800,2697000,EUR
IT0005508590,2026-04-24,102.4700,102.7900,102.2700,102.7500,11974000,EUR
IT0005508590,2026-04-27,102.6700,102.7600,102.3800,102.4300,8142000,EUR
IT0005508590,2026-04-28,102.2300,102.2300,101.8200,102.1000,2559000,EUR
IT0005508590,2026-04-29,102.1000,102.1000,101.6000,101.6400,8593000,EUR
IT0005508590,2026-04-30,101.4000,102.3200,101.3800,102.2600,2766000,EUR
IT0005508590,2026-05-04,102.0600,102.2400,101.7000,101.7400,3001000,EUR
IT0005508590,2026-05-05,101.8400,102.2000,101.8000,102.2000,10016000,EUR
IT0005508590,2026-05-06,102.5500,103.4100,102.5500,103.1900,14627000,EUR
IT0005508590,2026-05-07,103.4100,103.5900,103.1600,103.2800,3594000,EUR
IT0005508590,2026-05-08,103.0800,103.3700,102.9300,103.2300,6609000,EUR
IT0005508590,2026-05-11,103.0600,103.0600,102.7200,102.8100,3433000,EUR
IT0005508590,2026-05-12,102.1800,102.4100,102.1400,102.2000,5355000,EUR
IT0005508590,2026-05-13,102.3600,102.3700,102.0500,102.2400,2110000,EUR
IT0005508590,2026-05-14,102.5000,102.7600,102.3400,102.7500,1382000,EUR
IT0005508590,2026-05-15,102.2200,102.3600,101.6400,101.6700,2172000,EUR
IT0005508590,2026-05-18,101.4200,102.0100,101.2800,101.6800,2977000,EUR
IT0005508590,2026-05-19,101.8800,101.9800,101.3400,101.4400,9225000,EUR
IT0005508590,2026-05-20,101.6500,102.7100,101.6000,102.4300,6483000,EUR
IT0005508590,2026-05-21,102.2400,102.5600,102.0100,102.3200,2178000,EUR
IT0005508590,2026-05-22,102.6300,103.0000,102.6300,102.8600,1934000,EUR
IT0005508590,2026-05-25,103.4000,103.8500,103.3000,103.6900,1623000,EUR
IT0005508590,2026-05-26,103.5200,103.5200,103.3000,103.3200,1389000,EUR
IT0005508590,2026-05-27,103.5200,103.7200,103.3500,103.3500,8576000,EUR
IT0005508590,2026-05-28,103.1500,103.6300,102.9700,103.5700,5873000,EUR
IT0005508590,2026-05-29,103.5200,103.9000,103.4300,103.8400,1262000,EUR
IT0005508590,2026-06-01,103.4600,103.5000,102.8700,102.8700,3542000,EUR
